sample_name	platform	qiita_prep_id	run_prefix
12802.10249.M042.01SS	Illumina	7898	10249.M042.01SS
12802.10249.M042.01V	Illumina	7898	10249.M042.01V
12802.10249.M042.02V	Illumina	7898	10249.M042.02V
12802.10249.M042.03R	Illumina	7898	10249.M042.03R
12802.10249.M042.03V	Illumina	7898	10249.M042.03V
12802.10249.M043.01R	Illumina	7898	10249.M043.01R
12802.10249.M043.01SS	Illumina	7898	10249.M043.01SS
12802.10249.M043.01V	Illumina	7898	10249.M043.01V
12802.10249.M043.02R	Illumina	7898	10249.M043.02R
12802.10249.M043.02V	Illumina	7898	10249.M043.02V
12802.10249.M043.03R	Illumina	7898	10249.M043.03R
12802.10249.M043.03V	Illumina	7898	10249.M043.03V
12802.10249.M044.01R	Illumina	7898	10249.M044.01R
12802.10249.M044.01SS	Illumina	7898	10249.M044.01SS
12802.10249.M044.02R	Illumina	7898	10249.M044.02R
12802.10249.M044.02V	Illumina	7898	10249.M044.02V
12802.10249.M044.03R	Illumina	7898	10249.M044.03R
12802.10249.M044.03V	Illumina	7898	10249.M044.03V
12802.10249.M045.01SS	Illumina	7898	10249.M045.01SS
12802.10249.M045.01V	Illumina	7898	10249.M045.01V
12802.10249.M045.02SS	Illumina	7898	10249.M045.02SS
12802.10249.M045.02V	Illumina	7898	10249.M045.02V
12802.10249.M046.01R	Illumina	7898	10249.M046.01R
12802.10249.M046.01SS	Illumina	7898	10249.M046.01SS
12802.10249.M046.01V	Illumina	7898	10249.M046.01V
12802.10249.M046.02SS	Illumina	7898	10249.M046.02SS
12802.10249.M046.02V	Illumina	7898	10249.M046.02V
12802.10249.M046.03SS	Illumina	7898	10249.M046.03SS
12802.10249.M046.03V	Illumina	7898	10249.M046.03V
12802.10249.M047.01R	Illumina	7898	10249.M047.01R
12802.10249.M047.01SD	Illumina	7898	10249.M047.01SD
12802.10249.M047.01V	Illumina	7898	10249.M047.01V
12802.10249.M047.02R	Illumina	7898	10249.M047.02R
12802.10249.M047.02V	Illumina	7898	10249.M047.02V
12802.10249.M047.03R	Illumina	7898	10249.M047.03R
12802.10249.M047.03V	Illumina	7898	10249.M047.03V
12802.10249.M049.01R	Illumina	7898	10249.M049.01R
12802.10249.M049.01SS	Illumina	7898	10249.M049.01SS
12802.10249.M049.01V	Illumina	7898	10249.M049.01V
12802.10249.M049.02R	Illumina	7898	10249.M049.02R
12802.10249.M049.02V	Illumina	7898	10249.M049.02V
12802.10249.M049.03R	Illumina	7898	10249.M049.03R
12802.10249.M049.03V	Illumina	7898	10249.M049.03V
12802.10249.M050.01R	Illumina	7898	10249.M050.01R
12802.10249.M050.01SS	Illumina	7898	10249.M050.01SS
12802.10249.M050.01V	Illumina	7898	10249.M050.01V
12802.10249.M050.02R	Illumina	7898	10249.M050.02R
12802.10249.M050.02V	Illumina	7898	10249.M050.02V
12802.10249.M051.01R	Illumina	7898	10249.M051.01R
12802.10249.M051.01V	Illumina	7898	10249.M051.01V
12802.10249.M051.02R	Illumina	7898	10249.M051.02R
12802.10249.M051.02V	Illumina	7898	10249.M051.02V
12802.10249.M052.01R	Illumina	7898	10249.M052.01R
12802.10249.M052.01SS	Illumina	7898	10249.M052.01SS
12802.10249.M052.01V	Illumina	7898	10249.M052.01V
12802.10249.M052.02R	Illumina	7898	10249.M052.02R
12802.10249.M052.02V	Illumina	7898	10249.M052.02V
12802.10249.M052.03R	Illumina	7898	10249.M052.03R
12802.10249.M052.03V	Illumina	7898	10249.M052.03V
12802.10249.M053.01R	Illumina	7898	10249.M053.01R
12802.10249.M053.01SD	Illumina	7898	10249.M053.01SD
12802.10249.M053.01SS	Illumina	7898	10249.M053.01SS
12802.10249.M053.01V	Illumina	7898	10249.M053.01V
12802.10249.M053.02R	Illumina	7898	10249.M053.02R
12802.10249.M053.02V	Illumina	7898	10249.M053.02V
12802.10249.M053.03R	Illumina	7898	10249.M053.03R
12802.10249.M053.03V	Illumina	7898	10249.M053.03V
12802.10249.M055.01R	Illumina	7898	10249.M055.01R
12802.10249.M055.01SD	Illumina	7898	10249.M055.01SD
